Sport,Team Name,Wins,Losses,Year,Zscore,AbsValZscore
MLB,Baltimore Orioles,108,54,1970,4.242640687119286,4.242640687119286
MLB,Cincinnati Reds,102,60,1970,3.2998316455372216,3.2998316455372216
MLB,Minnesota Twins,98,64,1970,2.671292284482513,2.671292284482513
MLB,New York Yankees,93,69,1970,1.8856180831641267,1.8856180831641267
MLB,Pittsburgh Pirates,89,73,1970,1.2570787221094177,1.2570787221094177
MLB,Oakland Athletics,89,73,1970,1.2570787221094177,1.2570787221094177
MLB,Los Angeles Dodgers,87,74,1970,1.0245435281108308,1.0245435281108308
MLB,Boston Red Sox,87,75,1970,0.9428090415820634,0.9428090415820634
MLB,San Francisco Giants,86,76,1970,0.7856742013183862,0.7856742013183862
MLB,California Angels,86,76,1970,0.7856742013183862,0.7856742013183862
MLB,Chicago Cubs,84,78,1970,0.4714045207910317,0.4714045207910317
MLB,New York Mets,83,79,1970,0.31426968052735443,0.31426968052735443
MLB,Detroit Tigers,79,83,1970,-0.31426968052735443,0.31426968052735443
MLB,Houston Astros,79,83,1970,-0.31426968052735443,0.31426968052735443
MLB,St. Louis Cardinals,76,86,1970,-0.7856742013183862,0.7856742013183862
MLB,Atlanta Braves,76,86,1970,-0.7856742013183862,0.7856742013183862
MLB,Cleveland Indians,76,86,1970,-0.7856742013183862,0.7856742013183862
MLB,Philadelphia Phillies,73,88,1970,-1.182165609358651,1.182165609358651
MLB,Montreal Expos,73,89,1970,-1.2570787221094177,1.2570787221094177
MLB,Washington Senators,70,92,1970,-1.7284832429004495,1.7284832429004495
MLB,Kansas City Royals,65,97,1970,-2.5141574442188355,2.5141574442188355
MLB,Milwaukee Brewers,65,97,1970,-2.5141574442188355,2.5141574442188355
MLB,San Diego Padres,63,99,1970,-2.8284271247461903,2.8284271247461903
MLB,Chicago White Sox,56,106,1970,-3.928371006591931,3.928371006591931
MLB,Baltimore Orioles,101,57,1971,3.500452050373212,3.500452050373212
MLB,Oakland Athletics,101,60,1971,3.2312526655803127,3.2312526655803127
MLB,Pittsburgh Pirates,97,65,1971,2.5141574442188355,2.5141574442188355
MLB,Detroit Tigers,91,71,1971,1.5713484026367723,1.5713484026367723
MLB,San Francisco Giants,90,72,1971,1.4142135623730951,1.4142135623730951
MLB,St. Louis Cardinals,90,72,1971,1.4142135623730951,1.4142135623730951
MLB,Los Angeles Dodgers,89,73,1971,1.2570787221094177,1.2570787221094177
MLB,Kansas City Royals,85,76,1971,0.7092993656151906,0.7092993656151906
MLB,Boston Red Sox,85,77,1971,0.6285393610547089,0.6285393610547089
MLB,Chicago Cubs,83,79,1971,0.31426968052735443,0.31426968052735443
